Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-09-19,IOBT,28.0,1.57,43.96,1.3,1.56,43.68,-0.28,HOLD,,
2025-09-19,TOTAL,,,,,,43.68,-0.28,,98.45,142.13
2025-09-22,IOBT,28.0,1.57,43.96,1.3,1.49,41.72,-2.24,HOLD,,
2025-09-22,SPRO,22.0,2.0,44.0,1.75,2.03,44.66,0.66,HOLD,,
2025-09-22,ABAT,18.0,3.0,54.0,2.6,3.77,67.86,13.86,HOLD,,
2025-09-22,TOTAL,,,,,,154.24,12.28,,0.45,154.69
2025-09-23,IOBT,28.0,1.57,43.96,1.3,1.6,44.8,0.84,HOLD,,
2025-09-23,SPRO,22.0,2.0,44.0,1.75,2.01,44.22,0.22,HOLD,,
2025-09-23,ABAT,12.0,3.0,36.0,2.6,4.13,49.56,13.56,HOLD,,
2025-09-23,TOTAL,,,,,,138.58,14.62,,23.73,162.31
2025-09-24,IOBT,28.0,1.57,43.96,1.3,1.58,44.24,0.28,HOLD,,
2025-09-24,SPRO,33.0,2.0033333333333334,66.11,0.0,1.97,65.01,-1.1,HOLD,,
2025-09-24,ABAT,12.0,3.0,36.0,2.6,4.7,56.4,20.4,HOLD,,
2025-09-24,TOTAL,,,,,,165.65,19.58,,1.62,167.27
2025-09-25,IOBT,28.0,1.57,43.96,1.3,1.58,44.24,0.28,HOLD,,
2025-09-25,SPRO,33.0,2.0033333333333334,66.11,0.0,1.94,64.02,-2.09,HOLD,,
2025-09-25,ABAT,12.0,3.0,36.0,2.6,4.34,52.08,16.08,HOLD,,
2025-09-25,TOTAL,,,,,,160.34,14.27,,1.62,161.96
2025-09-26,IOBT,28.0,1.57,43.96,0.0,1.58,44.24,0.28,HOLD,,
2025-09-26,SPRO,33.0,2.0033333333333334,66.11,0.0,1.89,62.37,-3.74,HOLD,,
2025-09-26,ABAT,12.0,3.0,36.0,2.6,4.38,52.56,16.56,HOLD,,
2025-09-26,TOTAL,,,,,,159.17,13.1,,1.62,160.79
2025-09-29,IOBT,28.0,1.57,43.96,0.0,0.37,10.36,-33.6,HOLD,,
2025-09-29,SPRO,33.0,2.0033333333333334,66.11,0.0,1.9,62.7,-3.41,HOLD,,
2025-09-29,ABAT,12.0,3.0,36.0,2.6,5.16,61.92,25.92,HOLD,,
2025-09-29,TOTAL,,,,,,134.98,-11.09,,1.62,136.6
2025-09-30,SPRO,33.0,2.0033333333333334,66.11,1.7,1.88,62.04,-4.07,HOLD,,
2025-09-30,ABAT,12.0,3.0,36.0,2.6,4.86,58.32,22.32,HOLD,,
2025-09-30,TOTAL,,,,,,120.36,18.25,,12.12,132.48
2025-10-01,SPRO,33.0,2.0033333333333334,66.11,1.7,1.96,64.68,-1.43,HOLD,,
2025-10-01,ABAT,12.0,3.0,36.0,2.6,5.19,62.28,26.28,HOLD,,
2025-10-01,TOTAL,,,,,,126.96,24.85,,12.12,139.08
2025-10-02,SPRO,33.0,2.0033333333333334,66.11,1.7,2.03,66.99,0.88,HOLD,,
2025-10-02,ABAT,12.0,3.0,36.0,2.6,5.01,60.12,24.12,HOLD,,
2025-10-02,TOTAL,,,,,,127.11,25.0,,12.06,139.77
2025-10-03,SPRO,33.0,2.0033333333333334,66.11,1.7,2.05,67.65,1.54,HOLD,,
2025-10-03,ABAT,12.0,3.0,36.0,2.6,4.88,58.56,22.56,HOLD,,
2025-10-03,TOTAL,,,,,,126.21,24.1,,12.06,138.27
2025-10-06,SPRO,33.0,2.0033333333333334,66.11,1.75,2.09,68.97,2.86,HOLD,,
2025-10-06,ABAT,8.0,3.0,24.0,4.0,5.36,42.88,18.88,HOLD,,
2025-10-06,TOTAL,,,,,,111.85,21.74,,32.86,144.71
2025-10-07,SPRO,33.0,2.0033333333333334,66.11,1.75,2.16,71.28,5.17,HOLD,,
2025-10-07,ABAT,8.0,3.0,24.0,4.0,5.56,44.48,20.48,HOLD,,
2025-10-07,TOTAL,,,,,,115.76,25.65,,32.86,149.34
2025-10-08,SPRO,33.0,2.0033333333333334,66.11,1.75,2.28,75.24,9.13,HOLD,,
2025-10-08,ABAT,8.0,3.0,24.0,4.0,5.98,47.84,23.84,HOLD,,
2025-10-08,BEEM,9.0,3.35,30.15,2.8,3.35,30.15,0.45,HOLD,,
2025-10-08,TOTAL,,,,,,153.23,33.42,,3.16,156.39
2025-10-09,SPRO,33.0,2.0033333333333334,66.11,1.75,2.36,77.88,11.77,HOLD,,
2025-10-09,ABAT,8.0,3.0,24.0,4.0,6.24,49.92,25.92,HOLD,,
2025-10-09,BEEM,9.0,3.35,30.15,2.8,3.34,30.06,-0.09,HOLD,,
2025-10-09,TOTAL,,,,,,157.86,37.6,,3.16,161.02
2025-10-10,SPRO,33.0,2.0033333333333334,66.11,1.75,2.25,74.25,8.14,HOLD,,
2025-10-10,ABAT,8.0,3.0,24.0,4.0,6.75,54.0,30.0,HOLD,,
2025-10-10,BEEM,9.0,3.35,30.15,2.8,3.38,30.42,0.27,HOLD,,
2025-10-10,TOTAL,,,,,,158.67,38.41,,3.16,161.83
2025-10-14,SPRO,33.0,2.0033333333333334,66.11,1.95,2.36,77.88,11.77,HOLD,,
2025-10-14,ABAT,2.0,3.0,6.0,9.6,11.33,22.66,16.66,HOLD,,
2025-10-14,BEEM,9.0,3.35,30.15,3.35,3.88,34.92,4.77,HOLD,,
2025-10-14,TOTAL,,,,,,135.46,33.2,,54.76,190.22
2025-10-15,SPRO,33.0,2.0033333333333334,66.11,2.15,2.49,82.17,16.06,HOLD,,
2025-10-15,BEEM,9.0,3.35,30.15,3.35,3.65,32.85,2.7,HOLD,,
2025-10-15,TOTAL,,,,,,115.02,18.76,,77.57,189.02
